super_opeid,name,par_income_bin,par_income_lab,attend,stderr_attend,attend_level,attend_sat,stderr_attend_sat,attend_level_sat,rel_apply,stderr_rel_apply,rel_attend,stderr_rel_attend,rel_att_cond_app,rel_apply_sat,stderr_rel_apply_sat,rel_attend_sat,stderr_rel_attend_sat,rel_att_cond_app_sat,attend_unwgt,stderr_attend_unwgt,attend_unwgt_level,rel_attend_unwgt,rel_apply_unwgt,stderr_rel_attend_unwgt,stderr_rel_apply_unwgt,rel_att_cond_app_unwgt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3401,Brown University,100,Top 0.1,0.022422465,0.0023784793,0.0085656615,,,0.0093186991,1.407637,0.05506796,2.6177154,0.27767608,1.8596523,,,,,,0.0098595014,0.00090561982,0.00053589989,18.398029,6.2611146,1.6899048,0.22220254,2.9384592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,Columbia University In The City Of New York,10,0-20,0.01082803,0.0016757515,0.0099975159,0.014543965,0.0030077416,0.010133223,1.2348567,0.039644897,1.0830721,0.16761678,0.87708318,1.220964,0.066699505,1.4352753,0.29681987,1.1755264,0.000269574,0.000020233034,0.00056845817,0.47421959,0.65035713,0.035592828,0.0086723249,0.729168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,Columbia University In The City Of New York,30,20-40,0.011238966,0.0014881088,0.0099975159,0.0096825659,0.0020813143,0.010133223,1.2861434,0.032341257,1.1241759,0.14884785,0.87406731,1.413597,0.056941364,0.95552683,0.2053951,0.67595422,0.00024511924,0.000016379612,0.00056845817,0.43120015,0.69743502,0.028814103,0.0076016309,0.61826569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,Columbia University In The City Of New York,50,40-60,0.010622167,0.00099383609,0.0099975159,0.01087309,0.0014391537,0.010133223,1.0973284,0.021503802,1.0624807,0.099408306,0.96824312,1.0703021,0.034508593,1.073014,0.1420233,1.0025338,0.00027196194,0.000015208308,0.00056845817,0.47842032,0.69494796,0.02675361,0.0066045481,0.68842608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,Columbia University In The City Of New York,65,60-70,0.0089310175,0.00096426817,0.0099975159,0.0084117642,0.0013440661,0.010133223,0.94453937,0.021687416,0.89332366,0.096450776,0.94577706,0.86276883,0.032550074,0.83011734,0.13263956,0.96215498,0.00031497364,0.000020723826,0.00056845817,0.55408412,0.68222576,0.036456201,0.0082890624,0.81217122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,Columbia University In The City Of New York,75,70-80,0.0086673927,0.0007168313,0.0099975159,0.006612523,0.00091890612,0.010133223,0.89535725,0.016271167,0.86695462,0.071700938,0.96827787,0.83734471,0.025271168,0.65255874,0.090682514,0.77931911,0.00035125201,0.000020201926,0.00056845817,0.61790299,0.74499869,0.035538103,0.0080759097,0.82940143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,Columbia University In The City Of New York,85,80-90,0.0078334957,0.00049175322,0.0099975159,0.006976475,0.00070054684,0.010133223,0.89631128,0.011917864,0.78354418,0.049187541,0.87418759,0.88599002,0.019536631,0.68847543,0.069133669,0.77706903,0.00051167439,0.000022622777,0.00056845817,0.90010911,0.98907316,0.039796732,0.0087348111,0.91005313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,Columbia University In The City Of New York,92.5,90-95,0.0082115429,0.00049498933,0.0099975159,0.0082643349,0.00081024965,0.010133223,0.94410986,0.012291032,0.82135832,0.049511231,0.86998171,0.94045687,0.021596277,0.81556827,0.07995972,0.86720431,0.0009024383,0.000040114242,0.00056845817,1.5875193,1.5329895,0.070566744,0.014750305,1.0355709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,Columbia University In The City Of New York,95.5,95-96,0.0091111874,0.00092329911,0.0099975159,0.011777528,0.0018401254,0.010133223,0.98390049,0.023140255,0.91134512,0.092352852,0.92625743,1.0083692,0.042350307,1.1622688,0.18159331,1.1526222,0.0012861238,0.00010462454,0.00056845817,2.2624774,2.023694,0.18404967,0.037166033,1.1179938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,Columbia University In The City Of New York,96.5,96-97,0.0098407287,0.0008968031,0.0099975159,0.0105763,0.0016419543,0.010133223,1.0406375,0.02188593,0.98431736,0.089702591,0.94587922,1.0932239,0.041042145,1.0437253,0.16203673,0.95472229,0.0015866881,0.00011570725,0.00056845817,2.7912135,2.2997839,0.20354576,0.039443426,1.2136852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
